animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,0
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,2
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,6
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,6
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,1
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,5
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,4
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,2
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,2
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,0
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,0
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,1
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,0
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,5
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,0
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1
